Chassis_Number__c,Exterior_Color__c,Front_Tire_Size__c,Interior_Color__c,List_Price__c,Rear_Tire_Size__c,Status__c,Steering_Type__c,Vehicle_Definition__c,VIN__c,Name
ZRT4567394,White,17,Beige,"120,000.00$",17,In Service,Hybrid,2023 AMG EQE Sedan,Z1NYC7HJ6RX510888,2023 AMG EQE Sedan
ZRT4567398,Black,19,White,"200,000.00$",19,In Garage,Electric,2024 AMG G 63 SUV,W1NYC7HJ6RX510902,2024 AMG G 63 SUV
ZRT4567345,Red,15,Black,"60,000.00$",15,In Repair,Combustion,EQB 300 4MATIC SUV,WWNYC7HJ6RX510999,EQB 300 4MATIC SUV
ZRT4567394,Brown,17,Brown,"60,000.00$",17,In Service,Hybrid,2023 EQB SUV,WWNYC7HJ6RX510100,2023 EQB SUV
ZRT4567398,Black-Metallic,19,Mahagoni,"125,000.00$",19,In Garage,Electric,2023 EQE Sedan,WWNYC7HJ6RX509201,2023 EQE Sedan
ZRT4567345,White,15,Mahagoni,"130,000.00$",15,In Repair,Combustion,2023  EQE SUV,WWNYC7HJ6RX508302,2023  EQE SUV
ZRT4567394,Black,17,Beige,"130,000.00$",17,In Service,Hybrid,2023 EQS Sedan,WWNYC7HJ6RX507403,2023 EQS Sedan
ZRT4567398,Red,19,White,"140,000.00$",19,In Garage,Electric,2023 EQS SUV,WWNYC7HJ6RX506504,2023 EQS SUV
ZRT4567345,Brown,15,Black,"245,000.00$",15,In Repair,Combustion,2023 EQS SUV Maybach,WWNYC7HJ6RX505605,2023 EQS SUV Maybach
ZRT4567394,Black-Metallic,17,Brown,"65,000.00$",17,In Service,Hybrid,2023 GLA SUV,WWNYC7HJ6RX504706,2023 GLA SUV
ZRT4567398,White,19,Mahagoni,"60,000.00$",19,In Garage,Electric,2023 GLB SUV,WWNYC7HJ6RX503807,2023 GLB SUV
ZRT4567345,Black,15,Beige,"65,000.00$",15,In Repair,Combustion,2023 GLC SUV,WWNYC7HJ6RX502908,2023 GLC SUV
ZRT4567394,Black,17,White,"75,000.00$",17,In Service,Hybrid,2023 GLC Coupe,WWNYC7HJ6RX502009,2023 GLC Coupe
ZRT4567398,Red,19,Brown,"75,000.00$",19,In Garage,Electric,2023  GLE SUV,WWNYC7HJ6RX501110,2023  GLE SUV
ZRT4567345,Brown,15,Mahagoni,"75,000.00$",15,In Repair,Combustion,2024 GLE Coupe,WWNYC7HJ6RX500211,2024 GLE Coupe
ZRT4567394,Black-Metallic,17,Beige,"140,000.00$",17,In Service,Hybrid,2024 GLS SUV,WWNYC7HJ6RX499312,2024 GLS SUV
ZRT4567398,Black,19,White,"140,000.00$",19,In Garage,Electric,2024 G-Class SUV,WWNYC7HJ6RX498413,2024 G-Class SUV
ZRT4567345,Black,15,Black,"180,000.00$",15,In Repair,Combustion,2024 Mercedes-Maybach GLS SUV,WWNYC7HJ6RX497514,2024 Mercedes-Maybach GLS SUV
ZRT4567394,Red,17,Brown,"65,000.00$",17,In Service,Hybrid,2024 C-Class Sedan,WWNYC7HJ6RX496615,2024 C-Class Sedan
ZRT4567398,Brown,19,Mahagoni,"75,000.00$",19,In Garage,Electric,2024 E-Class Sedan,WWNYC7HJ6RX495716,2024 E-Class Sedan
ZRT4567345,Black-Metallic,15,Beige,"140,000.00$",15,In Repair,Combustion,2024 S-Class Sedan,WWNYC7HJ6RX494817,2024 S-Class Sedan
ZRT4567394,White,17,White,"180,000.00$",17,In Service,Hybrid,2024 Mercedes-Maybach S-Class,WWNYC7HJ6RX493918,2024 Mercedes-Maybach S-Class
ZRT4567398,White,19,Black,"75,000.00$",19,In Garage,Electric,2024 E-Class Wagon,WWNYC7HJ6RX493019,2024 E-Class Wagon
ZRT4567345,Black,15,Brown,"75,000.00$",15,In Repair,Combustion,2024 CLA Coupe,WWNYC7HJ6RX492120,2024 CLA Coupe
ZRT4567394,Red,17,Mahagoni,"140,000.00$",17,In Service,Hybrid,2024 Mercedes-AMG GT 4-door Coupe,WWNYC7HJ6RX491221,2024 Mercedes-AMG GT 4-door Coupe
ZRT4567398,Brown,19,Beige,"75,000.00$",19,In Garage,Electric,2024 C-Class Cabriolet,WWNYC7HJ6RX490322,2024 C-Class Cabriolet
ZRT4567345,Black-Metallic,15,White,"75,000.00$",15,In Repair,Combustion,2024 E-Class Cabriolet,WWNYC7HJ6RX489423,2024 E-Class Cabriolet
ZRT4567394,White,17,Black,"75,000.00$",17,In Service,Hybrid,2024 SL Roadster,WWNYC7HJ6RX488524,2024 SL Roadster
